actor;director;genre;movie_id;name;rating;runtime;votes;year;release_date;index;video_id;view_count;like_count;dislike_count;comment_count;budget;revenue;is_sequel;mpaa;screen_count;season;seasonality;like_ratio;is_profitable;revenue_range;polarity_tb;w_polarity_tb;count_pos_tb;count_neg_tb;polarity_sia;w_polarity_sia;count_pos_sia;count_neg_sia;polarity_avg;w_polarity_avg;pos_neg_ratio;pos_neg_ratio_1;pos_neg_ratio_3;pos_neg_ratio_5
Gerard Butler, Justine Waddell, Jonny Lee Miller, Christopher Plummer;Patrick Lussier;Action, Fantasy, Horror;tt0219653;Dracula 2000;4.9;99.0;29951.0;2000.0;22 December 2000 (USA);136;UrW2wng-MYc;132814.0;459.0;31.0;22.0;54000000.0;33022767.0;0;R;2204;Holiday;0.3339;14.375;False;F;0.39650881812686006;0.503082910061346;8.0;2.0;0.5332;0.5144589285714286;8.0;1.0;0.46485440906343;0.5087709193163873;4.5;4.5;4.5;3.5
Scott Glenn, Chris O'Donnell, Bill Paxton, Robin Tunney;Martin Campbell;Action, Adventure, Drama;tt0190865;Vertical Limit;5.9;124.0;54478.0;2000.0;8 December 2000 (USA);142;WrTFoBHRSxA;259996.0;378.0;41.0;40.0;75000000.0;69243859.0;0;PG-13;2602;Holiday;0.3339;9.023809523809524;False;D;0.31906260850694446;0.2894795778508772;17.0;3.0;0.41337894736842107;0.49680754716981135;16.0;3.0;0.36622077793768276;0.39314356251034427;4.25;4.25;5.333333333333333;4.0
Val Kilmer, Carrie-Anne Moss, Tom Sizemore, Benjamin Bratt;Antony Hoffman;Action, Sci-Fi, Thriller;tt0199753;Red Planet;5.7;106.0;51877.0;2000.0;10 November 2000 (USA);144;IpF691nGMW8;237729.0;338.0;39.0;54.0;80000000.0;17480890.0;0;PG-13;2703;Holiday;0.3339;8.475;False;G;0.13494867149758455;-0.00890151515151512;18.0;5.0;0.18454782608695652;0.16526436781609202;15.0;8.0;0.15974824879227054;0.07818142633228845;1.7777777777777777;1.875;2.1666666666666665;2.0
Cuba Gooding Jr., Robert De Niro, Charlize Theron, Aunjanue Ellis;George Tillman Jr.;Biography, Drama;tt0203019;Men of Honor;7.2;129.0;99422.0;2000.0;10 November 2000 (USA);151;FixQE61iSDg;775119.0;1835.0;100.0;208.0;32000000.0;48818921.0;0;R;2188;Holiday;0.3339;18.178217821782177;True;E;0.16710100085100082;0.20269518745844503;35.0;17.0;0.004189285714285713;-0.1630553299492386;31.0;25.0;0.08564514328264326;0.019819928754603214;1.2307692307692308;1.1923076923076923;1.125;0.85
Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans;Kevin Lima;Adventure, Comedy, Family;tt0211181;102 Dalmatians;4.9;100.0;30938.0;2000.0;22 November 2000 (USA);162;P3DjAcuZEXQ;171154.0;238.0;14.0;49.0;85000000.0;66957026.0;1;G;2704;Holiday;0.3339;15.933333333333334;False;D;0.10758363237639554;0.3631974517906336;12.0;7.0;0.02846086956521739;0.2956084745762712;11.0;12.0;0.06802225097080647;0.3294029631834524;0.9230769230769231;1.0;1.0;1.4
Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman;Kenneth Lonergan;Drama;tt0203230;You Can Count on Me;7.6;111.0;25683.0;2000.0;22 December 2000 (USA);172;rTc01ihgEbk;68342.0;119.0;9.0;9.0;1200000.0;9180275.0;0;R;150;Holiday;0.3339;12.0;True;H;0.29464285714285715;0.3335;5.0;2.0;0.5418142857142857;0.6148600000000001;6.0;1.0;0.4182285714285714;0.47418000000000005;3.5;3.5;3.5;6.0
Justin Whalin, Jeremy Irons, Zoe McLellan, Bruce Payne;Courtney Solomon;Action, Adventure, Fantasy;tt0190374;Dungeons & Dragons;3.7;107.0;29912.0;2000.0;8 December 2000 (USA);174;3SnA2rv4ros;136161.0;331.0;66.0;116.0;45000000.0;15220685.0;1;PG-13;2078;Holiday;0.3339;4.955223880597015;False;G;0.18007964917027422;0.0693422967921425;37.0;13.0;0.23168301886792456;0.22961371428571425;36.0;17.0;0.2058813340190994;0.14947800553892837;2.0555555555555554;2.0588235294117645;2.066666666666667;3.2857142857142856
Matt Damon, Penélope Cruz, Henry Thomas, Angelina Torres;Billy Bob Thornton;Drama, Romance, Western;tt0149624;All the Pretty Horses;5.8;116.0;12294.0;2000.0;25 December 2000 (USA);204;yygkQ8SjjQk;332359.0;318.0;35.0;91.0;57000000.0;15540353.0;0;PG-13;1593;Holiday;0.3339;8.86111111111111;False;G;0.12292443539915965;0.21146958823086195;50.0;18.0;0.3233385714285714;0.5400949685534592;55.0;15.0;0.22313150341386553;0.37578227839216055;3.5;3.6;3.75;3.1
Meg Ryan, Russell Crowe, David Morse, Pamela Reed;Taylor Hackford;Action, Drama, Thriller;tt0228750;Proof of Life;6.2;135.0;52434.0;2000.0;8 December 2000 (USA);206;kY7qGRhWcCo;144889.0;206.0;26.0;25.0;65000000.0;32598931.0;0;R;2705;Holiday;0.3339;7.666666666666667;False;F;0.3453703703703704;0.16730225988700564;6.0;3.0;0.115425;-0.10202500000000003;5.0;3.0;0.2303976851851852;0.032638629943502806;1.5;1.5;1.6666666666666667;1.0
Liam Neeson, Sandra Bullock, Oliver Platt, José Zúñiga;Eric Blakeney;Comedy, Crime, Romance;tt0171356;Gun Shy;5.7;101.0;6524.0;2000.0;1 December 2000 (Turkey);246;NNzS4WeACwQ;663911.0;897.0;252.0;62.0;10000000.0;1631839.0;0;R;296;Holiday;0.3339;3.549407114624506;False;H;-0.0721860853909465;-0.06812882587448559;12.0;15.0;-0.10774999999999997;-0.18899930555555555;15.0;21.0;-0.08996804269547323;-0.12856406571502058;0.7272727272727273;0.7272727272727273;0.6;0.5
Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits;Wim Wenders;Drama, Mystery, Thriller;tt0120753;The Million Dollar Hotel;5.9;122.0;19741.0;2000.0;3 November 2000 (Turkey);267;S4Ft6C8LTKU;52564.0;76.0;5.0;6.0;8000000.0;52526.0;0;R;10;Holiday;0.3339;12.833333333333334;False;I;0.42857142857142855;0.4387755102040816;3.0;0.0;0.4313666666666667;0.397525;3.0;0.0;0.42996904761904764;0.41815025510204085;4.0;4.0;3.0;2.0
Eric Bana, Olivia Wilde, Charlie Hunnam, Sissy Spacek;Stefan Ruzowitzky;Crime, Drama, Thriller;tt1667310;Deadfall;6.3;95.0;36005.0;2012.0;23 November 2012 (Turkey);1048;1IWaBAwTf2U;5855821.0;5894.0;514.0;1184.0;12000000.0;65804.0;0;R;2;Holiday;0.3339;11.446601941747574;False;I;0.1440897531323597;0.09287855766911694;403.0;233.0;0.10999955752212386;0.018920412371134034;412.0;266.0;0.12704465532724177;0.05589948502012549;1.546816479400749;1.5408560311284047;1.6476190476190475;1.3137254901960784
Jessica Alba, Mekhi Phifer, Romeo Miller, Missy Elliott;Bille Woodruff;Drama, Music, Romance;tt0322589;Honey;5.3;94.0;40547.0;2003.0;5 December 2003 (USA);210;9gPkNpqP-2k;1574038.0;3772.0;136.0;144.0;18000000.0;30222640.0;1;PG-13;1972;Holiday;0.3339;27.54014598540146;True;F;0.348175357470812;0.2374228708852603;48.0;7.0;0.351506779661017;0.45496572470373753;46.0;13.0;0.3498410685659145;0.3461942977944989;3.357142857142857;3.5384615384615383;5.5;4.333333333333333
Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith;Chris Columbus;Adventure, Family, Fantasy;tt0241527;Harry Potter and the Sorcerer's Stone;7.6;152.0;553203.0;2001.0;16 November 2001 (USA);2;VyHV0BRtdxo;1452991.0;8520.0;155.0;961.0;125000000.0;317575550.0;1;PG;3672;Holiday;0.3339;54.62179487179487;True;A;0.28141649932040613;0.013239249027161944;204.0;52.0;0.3464595505617972;0.2690661342894394;208.0;59.0;0.3139380249411017;0.14115269165830066;3.4833333333333334;3.625;4.130434782608695;5.153846153846154
Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean;Peter Jackson;Adventure, Drama, Fantasy;tt0120737;The Lord of the Rings: The Fellowship of the Ring;8.8;178.0;1467196.0;2001.0;19 December 2001 (USA);4;V75dMMIW2B4;2604524.0;7118.0;248.0;1105.0;93000000.0;315544750.0;1;PG-13;3381;Holiday;0.3339;28.59036144578313;True;A;0.2596953802780187;0.24766776498193252;307.0;84.0;0.32598103448275845;0.1377899040526994;306.0;100.0;0.29283820738038857;0.19272883451731596;3.0396039603960396;3.051546391752577;3.8732394366197185;4.923076923076923
George Clooney, Brad Pitt, Julia Roberts, Matt Damon;Steven Soderbergh;Crime, Thriller;tt0240772;Ocean's Eleven;7.8;116.0;465207.0;2001.0;7 December 2001 (USA);12;imm6OR605UI;1392957.0;2870.0;122.0;60.0;85000000.0;183417150.0;1;PG-13;3075;Holiday;0.3339;23.341463414634145;True;B;0.17766984953703702;0.2117916101660092;21.0;9.0;0.32144411764705894;-0.06768235294117644;26.0;8.0;0.24955698359204798;0.07205462861241638;3.0;2.7777777777777777;4.6;9.0
Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi;Pete Docter, David Silverman, Lee Unkrich;Animation, Adventure, Comedy;tt0198781;Monsters, Inc.;8.1;92.0;717923.0;2001.0;2 November 2001 (USA);18;cvOQeozL4S0;6514347.0;4332.0;890.0;490.0;115000000.0;289916256.0;0;G;3649;Holiday;0.3339;4.86307519640853;True;A;0.31134704438190824;0.220313159083438;242.0;53.0;0.38293610223642166;0.27928810020876826;245.0;68.0;0.34714157330916495;0.2498006296461031;3.5652173913043477;3.6515151515151514;4.666666666666667;7.166666666666667
Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell;Cameron Crowe;Fantasy, Mystery, Romance;tt0259711;Vanilla Sky;6.9;136.0;230682.0;2001.0;14 December 2001 (USA);48;k09OX40NLUw;1844866.0;4218.0;233.0;479.0;68000000.0;100614858.0;0;R;2842;Holiday;0.3339;18.02991452991453;True;C;0.2222907647907648;0.32793362535691956;115.0;35.0;0.27791345029239756;0.5362288482632541;122.0;49.0;0.2501021075415812;0.4320812368100868;2.46;2.5652173913043477;3.0606060606060606;3.7
Chyler Leigh, Jaime Pressly, Chris Evans, Eric Christian Olsen;Joel Gallen;Comedy;tt0277371;Not Another Teen Movie;5.7;89.0;88894.0;2001.0;14 December 2001 (USA);53;CXYlv-z_xHQ;2000715.0;8969.0;293.0;600.0;15000000.0;38252284.0;0;R;2365;Holiday;0.3339;30.510204081632654;True;F;0.1753178057559242;0.20300673169430472;145.0;63.0;0.1918598086124402;0.42564753787001447;138.0;71.0;0.1835888071841822;0.31432713478215957;1.9305555555555556;1.9701492537313432;2.2222222222222223;2.34375
Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller;Wes Anderson;Comedy, Drama;tt0265666;The Royal Tenenbaums;7.6;110.0;241189.0;2001.0;4 January 2002 (USA);77;8Eg6yIwP2vs;1437878.0;2120.0;85.0;149.0;21000000.0;52364010.0;0;R;999;Holiday;0.3339;24.662790697674417;True;E;0.3155926819606048;0.2164249329135968;69.0;16.0;0.38284146341463426;0.39274290540540535;67.0;15.0;0.34921707268761953;0.30458391915950106;4.25;5.153846153846154;5.363636363636363;5.857142857142857
Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane;Tony Scott;Action, Crime, Thriller;tt0266987;Spy Game;7.1;126.0;133352.0;2001.0;21 November 2001 (USA);104;M1f0c3utHGI;419299.0;379.0;50.0;17.0;115000000.0;26871.0;0;R;2770;Holiday;0.3339;7.450980392156863;False;I;-0.01174603174603174;0.18479853479853484;2.0;3.0;0.19557499999999997;0.288584375;6.0;2.0;0.09191448412698411;0.2366914548992674;2.3333333333333335;3.5;2.5;1.5
Jack Black, Gwyneth Paltrow, Jason Alexander, Joe Viterelli;Bobby Farrelly, Peter Farrelly;Comedy, Drama, Fantasy;tt0256380;Shallow Hal;5.9;114.0;119498.0;2001.0;9 November 2001 (USA);108;ZZWvgEOoV3U;1337987.0;4932.0;302.0;297.0;40000000.0;70836296.0;0;PG-13;2799;Holiday;0.3339;16.28052805280528;True;D;0.23189587891210092;0.35131132860576586;68.0;18.0;0.36275824175824173;0.7218684712396185;68.0;23.0;0.2973270603351713;0.5365898999226921;2.875;3.090909090909091;4.466666666666667;6.125
Brad Renfro, Nick Stahl, Bijou Phillips, Rachel Miner;Larry Clark;Biography, Crime, Drama;tt0242193;Bully;7.0;108.0;31978.0;2001.0;12 December 2001 (France);132;88KNf0MtU14;3745056.0;28594.0;2650.0;4990.0;2100000.0;1537670.0;0;R;20;Holiday;0.3339;10.786495662014334;False;H;0.11492179680498534;0.09484130815650864;1275.0;667.0;-0.004559662356321465;-0.11559562829022658;1315.0;1469.0;0.055181067224331935;-0.010377160066858973;0.8952380952380953;0.8988684582743989;0.9704347826086956;1.2857142857142858
Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini;Joel Coen, Ethan Coen;Crime, Drama;tt0243133;The Man Who Wasn't There;7.6;116.0;95910.0;2001.0;16 November 2001 (USA);138;htxvLcSnOU0;432093.0;812.0;22.0;105.0;20000000.0;7494849.0;0;R;259;Holiday;0.3339;35.34782608695652;False;H;0.2884239197962289;0.302065222468513;58.0;15.0;0.23116399999999998;0.32605925925925927;56.0;19.0;0.25979395989811443;0.3140622408638861;2.85;2.736842105263158;2.611111111111111;2.5
Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles;Michael Mann;Biography, Drama, Sport;tt0248667;Ali;6.8;157.0;86676.0;2001.0;25 December 2001 (USA);144;STuHQ5HpmEE;1323374.0;18079.0;410.0;450.0;107000000.0;58203105.0;0;R;2521;Holiday;0.3339;43.990267639902676;False;E;0.3468557139959147;0.3318139234555085;131.0;36.0;0.3284821428571426;0.511181900990099;152.0;44.0;0.3376689284265286;0.42149791222280375;3.4;3.4761904761904763;3.9696969696969697;4.842105263157895
Method Man, Redman, Obba Babatundé, Mike Epps;Jesse Dylan;Comedy, Fantasy;tt0278488;How High;6.3;93.0;49018.0;2001.0;21 December 2001 (USA);146;B5h2xRYmANk;1092146.0;1869.0;113.0;104.0;20000000.0;31155435.0;0;R;1273;Holiday;0.3339;16.403508771929825;True;F;0.28095177045177044;0.37369455782312916;33.0;6.0;0.32047105263157905;0.3271037313432836;30.0;8.0;0.30071141154167474;0.35039914458320637;3.4444444444444446;3.875;3.857142857142857;3.75
Gene Hackman, Owen Wilson, Gabriel Macht, Charles Malik Whitfield;John Moore;Action, Drama, Thriller;tt0159273;Behind Enemy Lines;6.4;106.0;93672.0;2001.0;30 November 2001 (USA);156;PUeWBp_kmuo;151471.0;463.0;53.0;87.0;40000000.0;59068786.0;1;PG-13;2844;Holiday;0.3339;8.592592592592593;True;E;0.2046008597883598;-0.03811961965565798;22.0;8.0;0.002646874999999993;-0.35919841897233196;16.0;16.0;0.10362386739417989;-0.19865901931399496;1.0;1.0625;1.1428571428571428;1.0
Flex Alexander, David Denman, A.J. Cook, Caroline Dhavernas;Brendan Malloy, Emmett Malloy;Comedy, Sport;tt0253798;Out Cold;6.3;89.0;15682.0;2001.0;21 November 2001 (USA);180;4_7nVDz0tUE;294993.0;264.0;19.0;7.0;24000000.0;13903262.0;0;PG-13;2011;Holiday;0.3339;13.25;False;G;0.5052380952380953;0.4288359788359788;5.0;0.0;0.8428500000000001;0.8637764705882354;4.0;0.0;0.6740440476190477;0.6463062247121071;5.0;5.0;5.0;5.0
Vinnie Jones, David Kelly, David Hemmings, Ralph Brown;Barry Skolnick;Comedy, Crime, Drama;tt0291341;Mean Machine;6.5;99.0;32831.0;2001.0;26 December 2001 (UK);187;KDyJYLDyBzc;634761.0;2019.0;144.0;18.0;2500000.0;92770.0;0;R;1;Holiday;0.3339;13.931034482758621;False;I;0.46458333333333335;0.5041666666666667;5.0;1.0;0.3028125;0.40364047619047616;6.0;2.0;0.38369791666666664;0.4539035714285714;2.3333333333333335;2.3333333333333335;3.5;2.0
Jet Li, Carla Gugino, Delroy Lindo, Jason Statham;James Wong;Action, Sci-Fi, Thriller;tt0267804;The One;5.9;87.0;84432.0;2001.0;2 November 2001 (USA);930;zVuuooZqVaU;8064682.0;34203.0;707.0;1459.0;49000000.0;43905746.0;0;PG-13;2894;Holiday;0.3339;48.31073446327684;False;E;0.21384353434211656;0.2191921956537097;426.0;173.0;0.14234191176470565;0.04378957591235972;408.0;272.0;0.17809272305341112;0.13149088578303472;1.4981684981684982;1.5135135135135136;1.5784753363228698;1.7972027972027973
Jim Carrey, Martin Landau, Bob Balaban, Jeffrey DeMunn;Frank Darabont;Drama, Romance;tt0268995;The Majestic;6.9;152.0;49152.0;2001.0;21 December 2001 (USA);210;TK9umGHmUfg;111181.0;423.0;22.0;45.0;72000000.0;27807266.0;0;PG;2361;Holiday;0.3339;18.434782608695652;False;F;0.4372847222222223;0.4912454086317723;18.0;2.0;0.5372047619047619;0.6595387096774195;19.0;2.0;0.4872447420634921;0.5753920591545959;6.666666666666667;6.666666666666667;9.5;6.5
Gene Hackman, Rebecca Pidgeon, Danny DeVito, Delroy Lindo;David Mamet;Action, Crime, Drama;tt0252503;Heist;6.5;109.0;30731.0;2001.0;9 November 2001 (USA);1585;BvJDL8v8lTk;2626347.0;2397.0;224.0;459.0;39000000.0;47239.0;0;R;1891;Holiday;0.3339;10.657777777777778;False;I;0.22256664443310317;0.201853472796795;141.0;55.0;0.1830075757575757;0.49118283518360367;126.0;72.0;0.20278711009533945;0.34651815399019936;1.7397260273972603;1.8115942028985508;2.1923076923076925;1.8888888888888888
Hayden Christensen, Kevin Kline, Kristin Scott Thomas, Jena Malone;Irwin Winkler;Drama;tt0264796;Life as a House;7.5;125.0;41438.0;2001.0;9 November 2001 (USA);226;QlAXZclowmI;608450.0;1155.0;27.0;198.0;27000000.0;15652637.0;0;R;1288;Holiday;0.3339;41.285714285714285;False;G;0.3696901010920895;0.33310573497825974;105.0;16.0;0.3813046875;0.14964840294840295;98.0;30.0;0.3754973942960448;0.24137706896333133;3.193548387096774;3.5;4.181818181818182;4.6
David Arquette, Velizar Binev, David Chandler, Michael Stuhlbarg;Tim Blake Nelson;Drama, History, War;tt0252480;The Grey Zone;7.1;108.0;9601.0;2001.0;30 November 2001 (Spain);280;cz0Cbi7-evg;156336.0;216.0;17.0;21.0;5000000.0;517872.0;0;R;36;Holiday;0.3339;12.055555555555555;False;I;0.10625000000000002;-0.034285714285714274;4.0;4.0;-0.3495142857142857;-0.39686470588235295;2.0;5.0;-0.12163214285714286;-0.2155752100840336;0.5;0.5;0.3333333333333333;0.2
Brian Cox, Paul Dano, Bruce Altman, Billy Kay;Michael Cuesta;Crime, Drama;tt0242587;L.I.E.;7.2;97.0;9131.0;2001.0;29 November 2002 (UK);295;yN_08_mkeXE;4444409.0;38632.0;2394.0;1413.0;700000.0;1141829.0;0;R;45;Holiday;0.3339;16.13068893528184;True;H;0.6009123799402492;0.6793617074054249;726.0;32.0;0.5507455128205155;0.6192606975907947;729.0;51.0;0.5758289463803823;0.6493112024981098;14.038461538461538;15.695652173913043;18.68421052631579;37.0
Tim Allen, Julie Bowen, Kelly Lynch, Greg Germann;John Pasquin;Comedy, Drama;tt0279889;Joe Somebody;5.5;98.0;9370.0;2001.0;21 December 2001 (USA);312;eVhSUEO5c6w;5754.0;8.0;1.0;2.0;38000000.0;22770864.0;0;PG;2517;Holiday;0.3339;4.5;False;F;0.025000000000000005;0.025000000000000005;1.0;0.0;0.8078;0.8078;1.0;0.0;0.4164;0.4164;2.0;2.0;2.0;2.0
Shane Brolly, Vincent D'Onofrio, Gary Sinise, Madeleine Stowe;Gary Fleder;Drama, Mystery, Sci-Fi;tt0160399;Impostor;6.2;95.0;21456.0;2001.0;4 January 2002 (USA);324;8cmo_XvWvyw;269998.0;897.0;58.0;56.0;40000000.0;6114237.0;0;PG-13;1870;Holiday;0.3339;15.220338983050848;False;H;0.19142857142857142;0.21967213114754097;12.0;2.0;0.2531076923076923;0.4121933333333334;9.0;4.0;0.22226813186813188;0.31593273224043716;2.0;1.8;1.8;1.5
Hilary Swank, Simon Baker, Jonathan Pryce, Adrien Brody;Charles Shyer;Drama, History, Romance;tt0242252;The Affair of the Necklace;6.1;118.0;4798.0;2001.0;7 December 2001 (USA);339;g45P9vNp5Mc;32846.0;57.0;10.0;10.0;30000000.0;430313.0;0;R;40;Holiday;0.3339;5.2727272727272725;False;I;0.29776388888888894;0.30316168763102724;5.0;0.0;-0.06518333333333336;-0.22968644067796617;3.0;3.0;0.11629027777777778;0.036737623476530534;1.0;1.0;0.75;0.6666666666666666
Dr. Dre, Snoop Dogg, Anthony Albano, Tic;DJ Pooh;Comedy;tt0290332;The Wash;4.7;93.0;6208.0;2001.0;14 November 2001 (USA);2790;os3v20ogRWM;617284.0;5997.0;136.0;837.0;7000000.0;10097096.0;0;R;749;Holiday;0.3339;43.78102189781022;True;G;0.19583320299737605;0.11875682696286909;178.0;87.0;0.06628624641833812;0.12376439815936065;206.0;143.0;0.1310597247078571;0.12126061256111487;1.4375;1.3093525179856116;1.3361344537815125;1.0365853658536586
Edward Burns, Heather Graham, Penny Balfour, Michael Leydon Campbell;Edward Burns;Comedy, Romance;tt0239986;Sidewalks of New York;6.5;108.0;6122.0;2001.0;30 November 2001 (USA);350;FHVpgT0UuDg;41869.0;30.0;4.0;6.0;1000000.0;2402459.0;0;R;224;Holiday;0.3339;6.2;True;H;0.5132542087542087;0.5132542087542087;5.0;0.0;0.7777200000000001;0.7777200000000001;5.0;0.0;0.6454871043771044;0.6454871043771044;6.0;6.0;6.0;6.0
